t,H,L
1669.0,1.8430909974105167,5.561491453761459
1670.0,1.8431078220815256,5.561827976731384
1671.0,1.8431247492698308,5.56216443973024
1672.0,1.8431417789119613,5.562500842919001
1673.0,1.8431589109445357,5.562837186458433
1674.0,1.8431761453042632,5.563173470509092
1675.0,1.843193481927943,5.563509695231327
1676.0,1.8432109207524638,5.563845860785281
1677.0,1.8432284617148045,5.564181967330887
1678.0,1.8432461047520325,5.564518015027874
1679.0,1.843263849801305,5.564854004035763
1680.0,1.843281696799868,5.565189934513872
1681.0,1.8432996456850559,5.565525806621311
1682.0,1.843317696394292,5.565861620516989
1683.0,1.843335848865088,5.566197376359608
1684.0,1.8433541030350429,5.566533074307667
1685.0,1.8433724588418445,5.566868714519463
1686.0,1.843390916223268,5.567204297153088
1687.0,1.8434094751171757,5.5675398223664345
1688.0,1.8434281354615176,5.5678752903171915
1689.0,1.8434468971943307,5.5682107011628466
1690.0,1.8434657602537388,5.568546055060686
1691.0,1.843484724577952,5.568881352167798
1692.0,1.8435037901052675,5.569216592641069
1693.0,1.8435229567740685,5.5695517766371845
1694.0,1.843542224522824,5.569886904312634
1695.0,1.8435615932900888,5.570221975823707
1696.0,1.8435810630145038,5.5705569913264945
1697.0,1.843600633634795,5.57089195097689
1698.0,1.8436203050897737,5.571226854930589
1699.0,1.8436400773183361,5.571561703343092
1700.0,1.8436599502594635,5.571896496369702
1701.0,1.8436799238522217,5.5722312341655265
1702.0,1.843699998035761,5.572565916885475
1703.0,1.8437201727493158,5.572900544684266
1704.0,1.8437404479322046,5.573235117716421
1705.0,1.8437608235238299,5.573569636136267
1706.0,1.8437812994636775,5.5739041000979395
1707.0,1.843801875691317,5.574238509755378
1708.0,1.8438225521464011,5.574572865262331
1709.0,1.8438433287686657,5.574907166772354
1710.0,1.8438642054979293,5.57524141443881
1711.0,1.8438851822740934,5.57557560841487
1712.0,1.8439062590371416,5.575909748853516
1713.0,1.8439274357271402,5.576243835907538
1714.0,1.8439487122842373,5.576577869729535
1715.0,1.8439700886486632,5.576911850471918
1716.0,1.8439915647607295,5.577245778286906
1717.0,1.8440131405608295,5.577579653326531
1718.0,1.8440348159894382,5.577913475742636
1719.0,1.8440565909871112,5.578247245686876
1720.0,1.8440784654944853,5.578580963310718
1721.0,1.8441004394522782,5.578914628765441
1722.0,1.844122512801288,5.579248242202138
1723.0,1.844144685482393,5.579581803771716
1724.0,1.8441669574365525,5.579915313624894
1725.0,1.8441893286048048,5.580248771912207
1726.0,1.8442117989282687,5.580582178784005
1727.0,1.8442343683481424,5.580915534390453
1728.0,1.8442570368057036,5.58124883888153
1729.0,1.8442798042423094,5.581582092407032
1730.0,1.8443026705993957,5.581915295116573
1731.0,1.8443256358184776,5.582248447159582
1732.0,1.844348699841149,5.582581548685305
